NavCustomerNo;CompanyName;CustomerStatus;PriorityCustomer;PPS;OcFwTerr;OcFwSat;OcNotam;CustomerSince;PriceEscalation;Terminationdate;ChurnValue;Avoidable;ChurnReason;BlockedDate;BlockedReason
COM11343;ASL nv (Air Service Leige NV) MOTHER COMPANY;Customer;2;28;0;0;0;02/01/2006 00:00:00;8.00;;0;;;;
COM13457;ASTRAL AVIATION;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13327;ATA CONCEPT GmbH;NonCust;0;0;0;0;0;08/01/2018 00:00:00;0.00;;0;Unavoidable;No Activity;05/10/2023 00:00:00;Operations ceased
COM11653;West Atlantic UK Ltd.;Customer;1;11;11;0;13;01/01/2010 00:00:00;8.00;;0;;;;
COM11034;Atlantic Airways;Customer;2;4;0;0;0;11/01/2002 00:00:00;8.00;;0;;;;
COM13640;ATLANTIS ARMENIAN AIRLINES;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12984;Atlantis European Airways;PotCust;0;0;0;0;0;12/10/2020 00:00:00;0.00;;0;;;12/09/2020 00:00:00;Want to close account for now
COM11035;ATLAS AIR SERVICE AG;NonCust;0;0;0;0;0;09/01/1994 00:00:00;8.00;06/30/2025 00:00:00;0;Avoidable;New partner with PPS account, cancellation only do to optm. of business. Flightplanning done by sprouts Gmbh, also a PPS customer;07/01/2025 00:00:00;New partner with PPS account, cancellation only do to optm. of business. Flightplanning done by sprouts Gmbh, also a PPS customer
;Atlas Global Airlines;NonCust;0;0;0;0;0;;0.00;;0;;;;
;ATLAS GLOBAL UA;PotCust;0;0;0;0;0;;0.00;;0;;;;
;ATRAN LCC;Quarantine;0;0;0;0;0;;0.00;;0;;;;
COM13669;Aura Airlines;PotCust;0;0;0;0;0;11/18/2020 00:00:00;0.00;;0;Unavoidable;Missing payment;12/20/2022 00:00:00;No payment, no communication
COM11220;Aurigny Air Services Ltd.;Customer;2;11;0;0;0;03/01/2005 00:00:00;8.00;;0;;;;
COM11038;Austrian Air Force;Customer;3;3;0;0;0;12/01/2001 00:00:00;8.00;;0;;;;
COM11039;AVANTI AIR GmbH & Co. KG;Customer;3;2;2;0;0;07/01/1996 00:00:00;8.00;;0;;;;
COM11887;Avcon Jet AG;PotCust;0;0;0;0;0;;0.00;;0;;;05/19/2023 00:00:00;
