NavCustomerNo,CompanyName,Country,Last12Months,Balance,FleetSize,Year2022,Dev2223,Year2023,Dev2324,Year2024,Dev2425,Year2025,YearToDate,LastYearToDate,LastFinancialYear
COM12004,HollandOPS,,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12010,HQ Flight & Operations Support GmbH,DE,194601,0,0,0,0,0,0,0,0,241211,94991,141600,241211
COM12017,Jet-Stream Ops Kft.,HU,511720,0,0,0,0,0,0,0,0,514116,245100,247496,514116
COM12024,SCANWINGS LTD,FI,0,0,2,0,0,0,0,0,0,0,0,0,0
COM12034,Air X Charter (Germany) GmbH & Co KG,DE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12038,SMART AVIATION,EG,109009,0,6,0,0,0,0,0,0,104333,55799,51123,104333
COM12052,Air Igor (Mng account - Aerotranscargo Moldova),HU,0,0,1,0,0,0,0,0,0,0,0,0,0
COM12067,Aviation Dispatch Service,AE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12072,HAHN AIR LINES GmbH,DE,70416,0,2,0,0,0,0,0,0,67217,42396,39196,67217
COM12083,GLOBAL REACH AVIATION,DK,14896,0,2,0,0,0,0,0,0,11567,10074,6745,11567
COM12084,SUDAN AIRWAYS,SD,52720,0,2,0,0,0,0,0,0,48719,27387,23386,48719
COM12088,Success Aviation Services FZCO,AE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12109,CTR Atmospherica Aviation a.s.,CZ,198024,0,7,0,0,0,0,0,0,157771,121075,80821,157771
COM12118,Nexus Flight Operations Services,SA,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12121,JET CALL GmbH & CO.KG,DE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12153,Aeropartner,CZ,0,0,9,0,0,0,0,0,0,0,0,0,0
COM12154,MAC Medical Aviation Consulting GmbH,DE,11606,0,0,0,0,0,0,0,0,10726,11606,10726,10726
COM12174,"Alliance Executive Jets Ltd, Orion (Malta) Ltd.",MT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12180,"FlyLease GmbH (SuissePromotion Immobiliare S.A.
 S.A.)",CH,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12181,ELILOMBARDA S. R. L.,IT,88673,88675,1,0,0,0,0,0,0,81529,88673,81529,81529
COM12185,NavFix Flight Services,PH,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12186,"Jet Story Sp. z o. o., Bluejet",PL,0,0,0,0,0,0,0,0,0,0,0,0,0
COM12189,AEROGATE S.L.,ES,0,0,1,0,0,0,0,0,0,0,0,0,0
COM12207,"United Aviation Services, S.L.",ES,9588,0,0,0,0,0,0,0,0,9581,9588,9581,9581
COM12212,Sardinian Sky Services s.r.l,IT,33477,8532,3,0,0,0,0,0,0,40071,17062,23656,40071
COM12225,CARPATAIR S.A.,RO,200256,0,3,0,0,0,0,0,0,179851,116849,96444,179851
